day_of_week,flights,mean_delay,delayed_over_30_rate
Friday,1537,16.552374756018217,0.20234222511385816
Thursday,1521,9.611439842209073,0.11900065746219593
Wednesday,1465,7.840955631399318,0.11126279863481228
Sunday,1295,6.951351351351351,0.11428571428571428
Tuesday,1548,6.195736434108527,0.09366925064599484
Saturday,1151,4.214596003475239,0.07993049522154648
Monday,1483,4.105866486850978,0.07417397167902899
