route,flights,mean_delay,delayed_over_30_rate
MDW-CMH,23,0.6956521739130435,0.043478260869565216
SAT-LAS,21,0.6666666666666666,0.0
ABQ-DAL,28,0.5357142857142857,0.03571428571428571
IAH-DAL,20,0.5,0.0
RNO-OAK,22,0.2727272727272727,0.045454545454545456
BNA-BWI,42,-0.023809523809523808,0.047619047619047616
BWI-BUF,32,-0.15625,0.03125
DAL-ELP,23,-0.2608695652173913,0.0
ONT-SMF,35,-0.6857142857142857,0.02857142857142857
DAL-ABQ,28,-0.8214285714285714,0.0
ALB-BWI,22,-2.0454545454545454,0.0
BUF-BWI,26,-2.3846153846153846,0.038461538461538464
