time_of_day,flights,mean_delay,delayed_over_30_rate
Overnight,22,51.95454545454545,0.36363636363636365
Morning,3755,0.9613848202396804,0.03675099866844208
Afternoon,3042,9.61439842209073,0.12886259040105194
Evening,2523,12.302417756638922,0.1644867221561633
Late night,658,24.378419452887538,0.2993920972644377
